Feature Name,Northmost Latitude,Southmost Latitude,Eastmost Longitude,Westmost Longitude,Center Latitude,Center Longitude,URL
Leilah Fluctus,52.20,48.77,76.00,80.50,50.50,77.80,https://planetarynames.wr.usgs.gov/Feature/14275
Lernaeus Labyrinthus,-81.20,-84.80,131.90,148.00,-83.40,138.00,https://planetarynames.wr.usgs.gov/Feature/15553
Letas Lacus,81.50,81.10,86.90,89.70,81.30,88.20,https://planetarynames.wr.usgs.gov/Feature/15630
Ligeia Mare,82.00,74.00,222.00,276.70,79.70,247.90,https://planetarynames.wr.usgs.gov/Feature/14400
Lithui Montes,85.77,83.75,88.96,145.39,84.68,112.56,https://planetarynames.wr.usgs.gov/Feature/15952
Logtak Lacus,71.00,70.60,225.50,226.70,70.80,226.10,https://planetarynames.wr.usgs.gov/Feature/14774
Luin Montes,82.63,80.72,45.01,22.85,81.98,36.26,https://planetarynames.wr.usgs.gov/Feature/16055
Lulworth Sinus,67.47,66.91,316.20,317.56,67.19,316.88,https://planetarynames.wr.usgs.gov/Feature/15898
Mackay Lacus,80.00,76.66,88.00,106.36,78.32,97.53,https://planetarynames.wr.usgs.gov/Feature/14318
Maizuru Sinus,79.67,77.96,348.52,357.94,78.90,352.53,https://planetarynames.wr.usgs.gov/Feature/15711
Manza Sinus,79.56,79.11,343.42,347.89,79.29,346.10,https://planetarynames.wr.usgs.gov/Feature/15709
Maracaibo Lacus,75.40,75.10,126.80,128.60,75.30,127.70,https://planetarynames.wr.usgs.gov/Feature/15587
Mayda Insula,80.30,77.40,302.70,321.20,79.10,312.20,https://planetarynames.wr.usgs.gov/Feature/14401
Melrhir Lacuna,65.10,64.60,212.10,213.30,64.90,212.60,https://planetarynames.wr.usgs.gov/Feature/14788
Menrva,25.20,16.10,82.50,91.90,20.10,87.20,https://planetarynames.wr.usgs.gov/Feature/7025
Merlock Montes,-8.40,-9.60,209.80,214.20,-8.90,211.80,https://planetarynames.wr.usgs.gov/Feature/14896
Meropis Insula,84.10,83.60,312.33,315.65,83.85,313.68,https://planetarynames.wr.usgs.gov/Feature/15944
Mezzoramia,-70.00,-70.00,0.00,0.00,-70.00,0.00,https://planetarynames.wr.usgs.gov/Feature/6987
Mindanao Facula,-4.00,-8.60,171.70,175.90,-6.60,174.20,https://planetarynames.wr.usgs.gov/Feature/6997
Mindolluin Montes,-1.78,-4.27,205.70,213.23,-3.30,208.96,https://planetarynames.wr.usgs.gov/Feature/15047
Misty Montes,57.34,56.30,61.00,63.95,56.80,62.44,https://planetarynames.wr.usgs.gov/Feature/15048
Mithrim Montes,-1.20,-3.20,126.00,128.90,-2.16,127.42,https://planetarynames.wr.usgs.gov/Feature/15049
Mohini Fluctus,-9.00,-14.45,37.73,42.18,-11.78,38.53,https://planetarynames.wr.usgs.gov/Feature/15043
Momoy,12.00,11.20,44.10,45.00,11.60,44.60,https://planetarynames.wr.usgs.gov/Feature/14903
Montego Sinus,81.51,80.35,136.32,125.60,80.76,130.92,https://planetarynames.wr.usgs.gov/Feature/16053
Moray Sinus,79.70,75.10,274.80,289.20,76.60,281.40,https://planetarynames.wr.usgs.gov/Feature/15289
Moria Montes,15.72,14.41,189.24,191.56,15.05,190.45,https://planetarynames.wr.usgs.gov/Feature/15353
Muritan Labyrinthus,-67.20,-71.20,213.40,225.10,-68.80,219.20,https://planetarynames.wr.usgs.gov/Feature/15549
Muzhwi Lacus,75.10,74.30,125.40,127.30,74.80,126.30,https://planetarynames.wr.usgs.gov/Feature/15586
Mweru Lacus,72.10,71.60,131.20,132.50,71.90,131.80,https://planetarynames.wr.usgs.gov/Feature/15572
Mystis,0.25,-0.10,194.66,195.05,0.07,194.86,https://planetarynames.wr.usgs.gov/Feature/15356
Müggel Lacus,85.50,82.69,174.70,218.00,84.44,203.50,https://planetarynames.wr.usgs.gov/Feature/15180
Mývatn Lacus,78.90,77.70,132.30,138.45,78.19,135.28,https://planetarynames.wr.usgs.gov/Feature/14319
Nakuru Lacuna,67.12,65.25,88.75,98.25,65.81,94.00,https://planetarynames.wr.usgs.gov/Feature/15182
Naraj Labyrinthus,-73.70,-75.70,31.90,41.00,-74.20,35.80,https://planetarynames.wr.usgs.gov/Feature/15547
Nath,-29.50,-31.60,6.50,8.80,-30.50,7.70,https://planetarynames.wr.usgs.gov/Feature/7018
Neagh Lacus,81.83,80.14,26.58,37.91,81.11,32.16,https://planetarynames.wr.usgs.gov/Feature/14320
Negra Lacus,75.70,75.40,128.40,129.40,75.50,128.90,https://planetarynames.wr.usgs.gov/Feature/15588
Ngami Lacuna,67.10,66.40,213.50,214.20,66.70,213.90,https://planetarynames.wr.usgs.gov/Feature/14789
Nicobar Faculae,7.00,-2.00,151.00,163.00,2.00,159.00,https://planetarynames.wr.usgs.gov/Feature/7002
Nicoya Sinus,75.70,74.00,245.50,256.10,74.80,251.20,https://planetarynames.wr.usgs.gov/Feature/15296
Nimloth Colles,12.80,11.00,150.50,151.78,11.86,151.30,https://planetarynames.wr.usgs.gov/Feature/15076
Niushe Labyrinthus,76.78,73.21,80.32,95.92,75.10,88.10,https://planetarynames.wr.usgs.gov/Feature/15685
Notus Undae,-7.90,-15.10,207.00,213.90,-10.00,211.10,https://planetarynames.wr.usgs.gov/Feature/14901
Oahu Facula,9.00,-1.50,163.20,169.20,5.00,166.70,https://planetarynames.wr.usgs.gov/Feature/7013
Ochumare Regio,15.40,5.42,337.74,358.51,10.40,348.10,https://planetarynames.wr.usgs.gov/Feature/15682
Ohrid Lacus,72.00,71.60,221.40,222.70,71.80,221.90,https://planetarynames.wr.usgs.gov/Feature/14775
Okahu Sinus,74.50,72.70,285.90,287.80,73.70,282.00,https://planetarynames.wr.usgs.gov/Feature/15290
Olomega Lacus,78.80,78.50,121.30,122.90,78.70,122.20,https://planetarynames.wr.usgs.gov/Feature/15596
Omacatl Macula,20.70,16.30,33.70,38.70,17.60,37.20,https://planetarynames.wr.usgs.gov/Feature/7006
Oneida Lacus,76.40,76.00,129.40,134.00,76.14,131.83,https://planetarynames.wr.usgs.gov/Feature/14321
Onogoro Insula,83.47,83.10,310.90,312.40,83.28,311.70,https://planetarynames.wr.usgs.gov/Feature/15943
Ontario Lacus,-72.00,-72.00,183.00,183.00,-72.00,183.00,https://planetarynames.wr.usgs.gov/Feature/7003
Orog Lacuna,71.37,70.45,173.45,170.93,70.85,172.06,https://planetarynames.wr.usgs.gov/Feature/16056
Paititi Terra,25.23,7.90,223.53,273.19,20.22,249.39,https://planetarynames.wr.usgs.gov/Feature/16316
Palma Labyrinthus,-72.00,-72.90,28.30,33.40,-72.40,31.00,https://planetarynames.wr.usgs.gov/Feature/15548
Patos Sinus,78.10,76.40,219.90,229.50,77.20,224.80,https://planetarynames.wr.usgs.gov/Feature/15301
Paxsi,6.70,3.70,339.80,342.60,5.00,341.20,https://planetarynames.wr.usgs.gov/Feature/14781
Penglai Insula,72.90,71.40,306.00,311.60,72.20,308.70,https://planetarynames.wr.usgs.gov/Feature/15274
Perkunas Virgae,-23.00,-31.00,150.00,175.00,-27.00,162.00,https://planetarynames.wr.usgs.gov/Feature/7022
Phewa Lacus,72.30,72.10,123.80,124.30,72.20,124.00,https://planetarynames.wr.usgs.gov/Feature/15583
Pielinen Lacus,72.01,70.66,182.56,176.76,71.34,179.66,https://planetarynames.wr.usgs.gov/Feature/16059
Planctae Insulae,78.10,77.00,248.60,255.00,77.50,251.30,https://planetarynames.wr.usgs.gov/Feature/15280
Polaznik Macula,-39.80,-43.00,276.10,285.50,-41.10,280.40,https://planetarynames.wr.usgs.gov/Feature/14657
Polelya Macula,51.50,48.30,54.00,58.25,50.00,56.00,https://planetarynames.wr.usgs.gov/Feature/14278
Poritrin Planitia,57.00,28.00,0.00,58.00,48.00,24.00,https://planetarynames.wr.usgs.gov/Feature/15262
Prespa Lacus,73.50,72.80,134.30,137.40,73.10,135.70,https://planetarynames.wr.usgs.gov/Feature/15576
Puget Sinus,83.60,81.60,234.00,247.80,82.40,241.10,https://planetarynames.wr.usgs.gov/Feature/15298
Punga Mare,89.00,82.20,72.00,287.00,85.10,339.70,https://planetarynames.wr.usgs.gov/Feature/14505
Qinghai Lacus,83.80,83.10,47.80,56.10,83.40,51.50,https://planetarynames.wr.usgs.gov/Feature/15637
Quilotoa Lacus,80.40,80.10,119.40,120.80,80.30,120.10,https://planetarynames.wr.usgs.gov/Feature/15598
Quivira,0.00,0.00,15.00,15.00,0.00,15.00,https://planetarynames.wr.usgs.gov/Feature/6988
Racetrack Lacuna,66.20,66.00,224.60,225.20,66.10,224.90,https://planetarynames.wr.usgs.gov/Feature/14790
Rannoch Lacus,74.80,73.50,127.30,131.60,74.20,129.30,https://planetarynames.wr.usgs.gov/Feature/15584
Rerir Montes,-4.40,-5.20,208.30,216.50,-4.80,212.10,https://planetarynames.wr.usgs.gov/Feature/14897
Richese Labyrinthus,44.30,39.70,198.00,201.80,41.80,199.00,https://planetarynames.wr.usgs.gov/Feature/15260
Robino Lacus,74.39,74.18,140.06,140.84,74.28,140.46,https://planetarynames.wr.usgs.gov/Feature/16282
Roca Lacus,80.30,79.40,121.20,125.50,79.80,123.50,https://planetarynames.wr.usgs.gov/Feature/15597
Rohe Fluctus,47.75,47.00,36.20,39.50,47.30,37.75,https://planetarynames.wr.usgs.gov/Feature/14276
Rombaken Sinus,76.00,74.60,229.30,237.20,75.30,232.90,https://planetarynames.wr.usgs.gov/Feature/15295
Romo Planitia,-77.81,-87.08,167.10,218.84,-82.79,200.96,https://planetarynames.wr.usgs.gov/Feature/15465
Rossak Planitia,-66.40,-75.89,341.37,8.67,-71.04,355.00,https://planetarynames.wr.usgs.gov/Feature/15466
Royllo Insula,69.20,67.10,294.20,300.50,68.30,297.20,https://planetarynames.wr.usgs.gov/Feature/15276
Rukwa Lacus,75.10,74.30,133.70,136.20,74.80,134.80,https://planetarynames.wr.usgs.gov/Feature/15580
Rwegura Lacus,71.70,71.30,104.50,106.00,71.50,105.20,https://planetarynames.wr.usgs.gov/Feature/15603
Saldanha Sinus,82.55,82.29,321.00,324.00,82.42,322.50,https://planetarynames.wr.usgs.gov/Feature/15947
Salusa Labyrinthus,46.89,44.18,262.43,266.07,45.60,264.20,https://planetarynames.wr.usgs.gov/Feature/15683
Sambation Flumina,88.33,85.55,78.56,130.63,87.33,90.12,https://planetarynames.wr.usgs.gov/Feature/15951
Santorini Facula,3.20,1.50,144.20,147.00,2.40,145.60,https://planetarynames.wr.usgs.gov/Feature/6998
Saraswati Flumen,-72.40,-77.20,186.48,202.21,-74.55,193.51,https://planetarynames.wr.usgs.gov/Feature/15468
Sarygamysh Lacus,84.85,84.44,105.19,102.76,84.64,103.92,https://planetarynames.wr.usgs.gov/Feature/16062
Seldon Fretum,66.50,65.20,314.90,318.50,66.00,316.60,https://planetarynames.wr.usgs.gov/Feature/15283
Selk,7.00,7.00,199.00,199.00,7.00,199.00,https://planetarynames.wr.usgs.gov/Feature/14334
Senkyo,-5.00,-5.00,320.00,320.00,-5.00,320.00,https://planetarynames.wr.usgs.gov/Feature/6989
Sevan Lacus,70.20,69.10,224.40,226.60,69.70,225.60,https://planetarynames.wr.usgs.gov/Feature/14776
Shangri-La,-10.00,-10.00,165.00,165.00,-10.00,165.00,https://planetarynames.wr.usgs.gov/Feature/6990
Shikoku Facula,-7.00,-13.30,161.90,166.60,-10.40,164.10,https://planetarynames.wr.usgs.gov/Feature/6999
Shiwanni Virgae,-22.00,-28.00,15.00,49.00,-25.00,32.00,https://planetarynames.wr.usgs.gov/Feature/7009
Shoji Lacus,-79.68,-79.81,166.00,166.74,-79.74,166.37,https://planetarynames.wr.usgs.gov/Feature/15464
Sikun Labyrinthus,-75.80,-79.40,24.40,38.00,-77.90,28.90,https://planetarynames.wr.usgs.gov/Feature/14629
