CORADR ID,Is a Titan Flyby,Contains ABDR,Contains ASUM,Contains BIDR,Contains LBDR,Contains SBDR,Contains STDR
CORADR_0161_V03,True,True,True,True,True,True,True
CORADR_0162,False,True,False,False,True,True,False
CORADR_0163,False,True,False,False,True,True,False
CORADR_0164,False,True,False,False,True,True,False
CORADR_0165,False,True,False,False,False,True,False
CORADR_0166,True,True,True,True,True,True,True
CORADR_0166_V02,True,True,True,True,True,True,False
CORADR_0166_V03,True,True,True,True,True,True,True
CORADR_0167,True,True,True,True,True,True,True
CORADR_0167_V02,True,True,True,True,True,True,False
CORADR_0167_V03,True,True,True,True,True,True,True
CORADR_0168,False,False,False,False,True,True,False
CORADR_0169,False,False,False,False,True,True,False
CORADR_0170,False,False,False,False,True,True,False
CORADR_0171,False,False,False,False,False,True,False
CORADR_0172,False,False,False,False,True,True,False
CORADR_0173,False,False,False,False,True,True,False
CORADR_0174,True,True,True,True,True,True,True
CORADR_0174_V02,True,True,True,True,True,True,False
CORADR_0174_V03,True,True,True,True,True,True,True
CORADR_0175,False,False,False,False,True,True,False
CORADR_0176,False,False,False,False,True,True,False
CORADR_0177,True,True,True,True,True,True,True
CORADR_0177_V02,True,True,True,True,True,True,False
CORADR_0177_V03,True,True,True,True,True,True,True
CORADR_0178,False,False,False,False,False,True,False
CORADR_0179,False,False,False,False,False,True,False
CORADR_0181,True,True,True,True,True,True,True
CORADR_0181_V02,True,True,True,True,True,True,False
CORADR_0181_V03,True,True,True,True,True,True,True
CORADR_0182,False,False,False,False,False,True,False
CORADR_0183,False,False,False,False,False,True,False
CORADR_0185,False,False,False,False,False,True,False
CORADR_0186,True,False,False,False,True,True,False
CORADR_0187,False,False,False,False,False,True,False
CORADR_0188,False,False,False,False,False,True,False
CORADR_0189,True,False,False,False,True,True,False
CORADR_0190,False,False,False,False,False,True,False
CORADR_0191,False,False,False,False,False,True,False
CORADR_0192,False,False,False,False,False,True,False
CORADR_0193,True,True,True,True,True,True,True
CORADR_0193_V02,True,True,True,True,True,True,False
CORADR_0193_V03,True,True,True,True,True,True,True
CORADR_0194,False,False,False,False,False,True,False
CORADR_0195,True,True,True,True,True,True,True
CORADR_0195_V02,True,True,True,True,True,True,False
CORADR_0195_V03,True,True,True,True,True,True,True
CORADR_0196,False,False,False,False,False,True,False
CORADR_0198,False,False,False,False,False,True,False
CORADR_0199,True,True,True,True,True,True,True
CORADR_0199_V02,True,True,True,True,True,True,False
CORADR_0199_V03,True,True,True,True,True,True,True
CORADR_0200,True,False,False,True,True,True,True
CORADR_0200_V02,True,False,False,True,True,True,False
CORADR_0200_V03,True,False,False,True,True,True,True
CORADR_0201,True,False,False,True,True,True,True
CORADR_0201_V02,True,True,False,True,True,True,False
CORADR_0201_V03,True,False,False,True,True,True,True
CORADR_0203,True,True,True,True,True,True,True
CORADR_0203_V02,True,True,True,True,True,True,False
CORADR_0203_V03,True,True,True,True,True,True,True
CORADR_0204,False,False,False,False,False,True,False
CORADR_0205,False,False,False,False,False,True,False
CORADR_0206,False,False,False,False,False,True,False
CORADR_0207,False,False,False,True,True,True,False
CORADR_0208,False,False,False,False,False,True,False
CORADR_0209,True,False,False,False,True,True,False
CORADR_0210,True,True,True,True,True,True,True
CORADR_0210_V02,True,True,True,True,True,True,False
CORADR_0210_V03,True,True,True,True,True,True,True
CORADR_0211,True,False,False,True,True,True,True
CORADR_0211_V02,True,False,False,True,True,True,False
CORADR_0211_V03,True,False,False,True,True,True,True
CORADR_0213,False,False,False,False,True,True,False
CORADR_0214,False,False,False,True,True,True,False
CORADR_0215,False,False,False,False,False,True,False
CORADR_0216,False,False,False,False,False,True,False
CORADR_0218,True,False,False,True,True,True,False
CORADR_0218_V02,True,False,False,True,True,True,False
CORADR_0218_V03,True,False,False,True,True,True,False
CORADR_0219,False,False,False,False,False,True,False
CORADR_0220,True,False,False,True,True,True,True
CORADR_0220_V02,True,False,False,True,True,True,False
CORADR_0220_V03,True,False,False,True,True,True,True
CORADR_0221,False,False,False,False,False,True,False
CORADR_0222,False,False,False,False,False,True,False
CORADR_0225,False,False,False,False,False,True,False
CORADR_0226,False,False,False,False,False,True,False
CORADR_0227,False,False,False,False,False,True,False
CORADR_0229,True,True,True,True,True,True,True
CORADR_0229_V02,True,True,True,True,True,True,False
CORADR_0229_V03,True,True,True,True,True,True,True
CORADR_0230,False,False,False,False,False,True,False
CORADR_0231,False,False,False,False,False,True,False
CORADR_0232,False,False,False,True,True,True,False
CORADR_0233,False,False,False,False,False,True,False
CORADR_0234,True,False,False,False,True,True,False
CORADR_0236,False,False,False,False,False,True,False
CORADR_0237,False,False,False,False,True,True,False
CORADR_0239,True,True,True,True,True,True,True
CORADR_0239_V02,True,True,True,True,True,True,False
CORADR_0239_V03,True,True,True,True,True,True,True
CORADR_0240,True,True,True,True,True,True,True
CORADR_0240_V02,True,True,True,True,True,True,False
CORADR_0240_V03,True,True,True,True,True,True,True
CORADR_0241,False,False,False,False,False,True,False
CORADR_0242,False,False,False,False,False,True,False
CORADR_0243,True,True,True,True,True,True,True
CORADR_0243_V02,True,True,True,True,True,True,False
CORADR_0243_V03,True,True,True,True,True,True,True
CORADR_0244,False,False,False,False,True,True,False
CORADR_0245,False,False,False,False,True,True,False
CORADR_0247,False,False,False,False,False,True,False
CORADR_0248,True,True,True,True,True,True,True
CORADR_0248_V02,True,True,True,True,True,True,False
CORADR_0248_V03,True,True,True,True,True,True,True
CORADR_0249,False,False,False,False,False,True,False
CORADR_0250,True,True,True,True,True,True,True
CORADR_0250_V02,True,True,True,True,True,True,False
CORADR_0250_V03,True,True,True,True,True,True,True
CORADR_0251,False,False,False,False,False,True,False
CORADR_0252,False,False,False,False,False,True,False
CORADR_0253,True,True,True,True,True,True,True
CORADR_0253_V02,True,True,True,True,True,True,False
CORADR_0253_V03,True,True,True,True,True,True,True
CORADR_0254,False,False,False,False,False,True,False
CORADR_0255,False,False,False,False,False,True,False
CORADR_0256,False,False,False,False,False,True,False
CORADR_0257,True,True,True,True,True,True,True
CORADR_0259,False,False,False,False,False,True,False
CORADR_0260,False,False,False,False,False,True,False
CORADR_0261,True,True,True,True,True,True,True
CORADR_0261_V02,True,True,True,True,True,True,False
CORADR_0261_V03,True,True,True,True,True,True,True
CORADR_0262,False,False,False,False,False,True,False
CORADR_0263,False,False,False,False,False,True,False
CORADR_0265,False,True,True,True,True,True,True
CORADR_0266,False,False,False,False,False,True,False
CORADR_0267,False,False,False,False,False,True,False
CORADR_0269,False,False,False,False,False,True,False
CORADR_0270,False,False,False,False,False,True,False
CORADR_0271,False,True,True,True,True,True,True
CORADR_0272,False,False,False,False,False,True,False
CORADR_0274,False,False,False,False,False,True,False
CORADR_0275,False,False,False,False,False,True,False
CORADR_0276,False,True,True,True,True,True,True
CORADR_0277,False,True,True,True,True,True,True
CORADR_0278,False,False,False,False,False,True,False
CORADR_0280,False,False,False,False,False,True,False
CORADR_0281,False,False,False,False,True,True,False
CORADR_0282,False,False,False,False,True,True,False
CORADR_0283,False,False,False,False,True,True,False
CORADR_0284,False,False,False,False,False,True,False
CORADR_0285,False,True,True,True,True,True,True
CORADR_0286,False,False,False,False,True,True,False
CORADR_0287,False,False,False,False,True,True,False
CORADR_0288,False,False,False,False,True,True,False
CORADR_0289,False,False,False,False,False,True,False
CORADR_0290,False,False,False,False,True,True,False
CORADR_0291,False,False,False,False,False,True,False
CORADR_0292,False,False,False,False,True,True,False
CORADR_0293,False,False,False,False,False,True,False
CORADR_0294,False,False,False,False,True,True,False
