INDEX,SWATH,SEGMENT,DATE (M),DATE (D),DATE (Y),MEAN – WEST LONGITUDE (DEG),MEDIAN – WEST LONGITUDE (DEG),MIN – WEST LONGITUDE (DEG),MAX – WEST LONGITUDE (DEG),MEAN – LATITUDE (DEG),MEDIAN – LATITUDE (DEG),MIN – LATITUDE (DEG),MAX – LATITUDE (DEG),MEAN – INCIDENCE (DEG),MEDIAN – INCIDENCE (DEG),MIN – INCIDENCE (DEG),MAX – INCIDENCE (DEG),MEAN – POLARIZATION (DEG),MEDIAN – POLARIZATION (DEG),MIN – POLARIZATION (DEG),MAX – POLARIZATION (DEG),MEAN – AZIMUTH (DEG),MEDIAN – AZIMUTH,MIN – AZIMUTH,MAX – AZIMUTH,MEAN – SAR RANGE RESOLUTION (KM),MEDIAN – SAR RANGE RESOLUTION (KM),MIN – SAR RANGE RESOLUTION (KM),MAX – SAR RANGE RESOLUTION (KM),MEAN – SAR AZIMUTH RESOLUTION (KM),MEDIAN – SAR AZIMUTH RESOLUTION (KM),MIN – SAR AZIMUTH RESOLUTION (KM),MAX – SAR AZIMUTH RESOLUTION (KM),MEAN – NUMBER OF LOOKS,MEDIAN – NUMBER OF LOOKS,MIN – NUMBER OF LOOKS,MAX – NUMBER OF LOOKS
17,19,2,10,9,2006,143.61,143.61,129.94,155.20,42.76,42.75,33.50,51.72,12.95,12.99,1.63,23.60,124.45,123.43,121.74,129.46,217.65,219.37,210.31,221.03,2.41,1.06,0.57,20.54,2.16,2.20,1.35,5.13,13.77,11.00,1.00,89.00
18,19,3,10,9,2006,324.49,324.49,315.81,333.13,-2.70,-2.69,-9.91,4.41,12.76,12.79,2.14,22.37,225.57,225.61,223.45,227.46,329.32,330.53,315.67,335.50,1.61,0.97,0.59,8.96,1.50,1.45,1.23,2.02,20.37,21.00,1.00,87.00
19,19,4,10,9,2006,317.40,317.35,293.83,340.56,-3.29,-3.21,-25.61,16.86,22.95,23.20,4.29,39.72,125.50,125.76,123.84,125.90,56.88,56.88,56.58,57.10,6.24,2.96,2.14,35.53,1.99,2.00,1.90,2.11,19.63,14.00,1.00,84.00
20,19,5,10,9,2006,300.74,300.63,282.93,317.71,-1.85,-1.87,-24.91,17.72,35.23,35.27,31.21,39.73,145.40,143.66,125.65,170.89,40.61,41.85,20.34,57.02,2.19,2.19,2.14,2.22,2.13,2.15,1.92,2.32,161.60,177.00,1.00,255.00
21,19,6,10,9,2006,291.85,291.78,278.62,305.04,-6.73,-6.64,-20.92,5.44,39.89,39.82,33.69,46.19,166.40,167.87,156.49,170.89,24.04,22.87,20.34,31.96,2.05,2.08,1.83,2.15,2.35,2.33,2.29,2.47,22.07,19.00,1.00,61.00
22,20,2,10,25,2006,147.23,147.98,89.12,206.78,0.44,0.22,-31.13,23.36,35.35,32.83,19.24,61.80,226.81,295.60,0.76,359.92,290.65,307.84,227.28,322.19,2.83,2.80,2.15,3.65,8.67,8.95,6.01,12.01,21.75,15.00,1.00,126.00
23,20,3,10,25,2006,122.92,122.93,75.79,169.83,0.63,0.59,-31.42,32.37,34.49,34.87,23.18,43.56,258.97,318.51,0.05,359.89,285.68,287.85,245.71,322.14,2.56,2.24,2.10,3.94,5.21,4.61,3.38,10.35,176.75,255.00,1.00,255.00
24,20,4,10,25,2006,138.46,138.33,105.03,178.40,18.35,18.34,-15.27,50.37,17.09,17.20,3.94,29.39,28.00,28.25,25.90,28.46,244.58,244.76,243.08,245.73,10.55,5.45,3.78,64.29,4.14,4.14,3.52,6.49,34.88,31.00,1.00,92.00
25,21,1,12,12,2006,258.54,266.47,185.58,305.65,21.21,25.41,-32.19,59.16,26.48,23.46,8.66,56.70,177.34,178.30,119.10,251.96,325.10,325.72,267.27,349.32,0.46,0.34,0.24,2.28,0.42,0.31,0.25,2.60,5.98,5.00,1.00,52.00
26,21,2,12,12,2006,300.54,300.54,290.17,311.31,-20.54,-20.53,-30.16,-10.86,12.54,12.50,0.89,23.40,224.25,237.30,3.45,349.68,278.55,289.12,131.94,301.95,1.75,0.91,0.56,20.84,1.69,1.71,1.47,2.84,17.57,18.00,1.00,58.00
27,23,1,1,13,2007,19.76,8.82,-35.32,108.92,19.53,25.63,-42.66,61.03,21.47,20.87,8.86,38.75,181.56,293.81,0.00,360.00,223.99,221.55,187.88,266.36,0.50,0.42,0.26,2.18,0.41,0.31,0.25,1.67,6.66,7.00,1.00,42.00
