CORADR ID,FLYBY ID,FILENAME,RESOLUTION,TARGET_NAME,MAXIMUM_LATITUDE (Degrees),MINIMUM_LATITUDE (Degrees),EASTERNMOST_LONGITUDE (Degrees),WESTERNMOST_LONGITUDE (Degrees),START_TIME,STOP_TIME
CORADR_0045,T00,BISQH22N068_D045_T003S01_V03.LBL,Q,TITAN,32.12890287 ,-6.31229547 ,358.20279612 ,137.06007948 ,2005-046T06:36:25.878,2005-046T07:18:52.414
CORADR_0045,T00,BISQI22N068_D045_T003S01_V03.LBL,Q,TITAN,32.12890287 ,-6.31229547 ,358.20279612 ,137.06007948 ,2005-046T06:36:25.878,2005-046T07:18:52.414
CORADR_0045,T00,BITQH22N068_D045_T003S01_V03.LBL,Q,TITAN,32.12890287 ,-6.31229547 ,358.20279612 ,137.06007948 ,2005-046T06:36:25.878,2005-046T07:18:52.414
CORADR_0045,T00,BIXQI22N068_D045_T003S01_V03.LBL,Q,TITAN,32.12890287 ,-6.31229547 ,358.20279612 ,137.06007948 ,2005-046T06:36:25.878,2005-046T07:18:52.414
CORADR_0045,T00,BIUQH22N068_D045_T003S01_V03.LBL,Q,TITAN,32.12890287 ,-6.31229547 ,358.20279612 ,137.06007948 ,2005-046T06:36:25.878,2005-046T07:18:52.414
CORADR_0045,T00,BIUQI22N068_D045_T003S01_V03.LBL,Q,TITAN,32.12890287 ,-6.31229547 ,358.20279612 ,137.06007948 ,2005-046T06:36:25.878,2005-046T07:18:52.414
CORADR_0045,T00,BIXQH22N068_D045_T003S01_V03.LBL,Q,TITAN,32.12890287 ,-6.31229547 ,358.20279612 ,137.06007948 ,2005-046T06:36:25.878,2005-046T07:18:52.414
CORADR_0045,T00,BIMQI22N068_D045_T003S01_V03.LBL,Q,TITAN,32.12890287 ,-6.31229547 ,358.20279612 ,137.06007948 ,2005-046T06:36:25.878,2005-046T07:18:52.414
CORADR_0045,T00,BITQI22N068_D045_T003S01_V03.LBL,Q,TITAN,32.12890287 ,-6.31229547 ,358.20279612 ,137.06007948 ,2005-046T06:36:25.878,2005-046T07:18:52.414
CORADR_0045,T00,BIMQH22N068_D045_T003S01_V03.LBL,Q,TITAN,32.12890287 ,-6.31229547 ,358.20279612 ,137.06007948 ,2005-046T06:36:25.878,2005-046T07:18:52.414
CORADR_0045,T00,BIDQI22N068_D045_T003S01_V03.LBL,Q,TITAN,32.12890287 ,-6.31229547 ,358.20279612 ,137.06007948 ,2005-046T06:36:25.878,2005-046T07:18:52.414
CORADR_0045,T00,BILQH22N068_D045_T003S01_V03.LBL,Q,TITAN,32.12890287 ,-6.31229547 ,358.20279612 ,137.06007948 ,2005-046T06:36:25.878,2005-046T07:18:52.414
CORADR_0045,T00,BIFQI22N068_D045_T003S01_V03.LBL,Q,TITAN,32.12890287 ,-6.31229547 ,358.20279612 ,137.06007948 ,2005-046T06:36:25.878,2005-046T07:18:52.414
CORADR_0045,T00,BIFQH22N068_D045_T003S01_V03.LBL,Q,TITAN,32.12890287 ,-6.31229547 ,358.20279612 ,137.06007948 ,2005-046T06:36:25.878,2005-046T07:18:52.414
CORADR_0045,T00,BIEQI22N068_D045_T003S01_V03.LBL,Q,TITAN,32.12890287 ,-6.31229547 ,358.20279612 ,137.06007948 ,2005-046T06:36:25.878,2005-046T07:18:52.414
CORADR_0045,T00,BIEQH22N068_D045_T003S01_V03.LBL,Q,TITAN,32.12890287 ,-6.31229547 ,358.20279612 ,137.06007948 ,2005-046T06:36:25.878,2005-046T07:18:52.414
CORADR_0045,T00,BIDQH22N068_D045_T003S01_V03.LBL,Q,TITAN,32.12890287 ,-6.31229547 ,358.20279612 ,137.06007948 ,2005-046T06:36:25.878,2005-046T07:18:52.414
CORADR_0045,T00,BIBQI22N068_D045_T003S01_V03.LBL,Q,TITAN,32.12890287,-6.31229547,358.20279612,137.06007948,2005-046T06:36:25.878,2005-046T07:18:52.414
CORADR_0045,T00,BIBQH22N068_D045_T003S01_V03.LBL,Q,TITAN,32.12890287,-6.31229547,358.20279612,137.06007948,2005-046T06:36:25.878,2005-046T07:18:52.414
CORADR_0045,T00,BIBQF22N068_D045_T003S01_V03.LBL,Q,TITAN,32.1289028,-6.3122954,358.2027961,137.0600794,2005-046T06:36:25.878,2005-046T07:18:52.414
CORADR_0045,T00,BIBQD22N068_D045_T003S01_V03.LBL,Q,TITAN,32.1289028,-6.3122954,358.2027961,137.0600794,2005-046T06:36:25.878,2005-046T07:18:52.414
CORADR_0045,T00,BILQI22N068_D045_T003S01_V03.LBL,Q,TITAN,32.12890287 ,-6.31229547 ,358.20279612 ,137.06007948 ,2005-046T06:36:25.878,2005-046T07:18:52.414
CORADR_0059,T00,BINQH51S012_D059_T007S01_V03.LBL,Q,TITAN,-24.83187819 ,-75.23634877 ,329.31274174 ,30.82630810 ,2005-250T07:57:10.500,2005-250T08:10:03.456
CORADR_0059,T00,BINQI51S012_D059_T007S01_V03.LBL,Q,TITAN,-24.83187819 ,-75.23634877 ,329.31274174 ,30.82630810 ,2005-250T07:57:10.500,2005-250T08:10:03.456
CORADR_0059,T00,BISQH51S012_D059_T007S01_V03.LBL,Q,TITAN,-24.83187819 ,-75.23634877 ,329.31274174 ,30.82630810 ,2005-250T07:57:10.500,2005-250T08:10:03.456
CORADR_0059,T00,BISQI51S012_D059_T007S01_V03.LBL,Q,TITAN,-24.83187819 ,-75.23634877 ,329.31274174 ,30.82630810 ,2005-250T07:57:10.500,2005-250T08:10:03.456
CORADR_0059,T00,BITQH51S012_D059_T007S01_V03.LBL,Q,TITAN,-24.83187819 ,-75.23634877 ,329.31274174 ,30.82630810 ,2005-250T07:57:10.500,2005-250T08:10:03.456
CORADR_0059,T00,BIXQI51S012_D059_T007S01_V03.LBL,Q,TITAN,-24.83187819 ,-75.23634877 ,329.31274174 ,30.82630810 ,2005-250T07:57:10.500,2005-250T08:10:03.456
CORADR_0059,T00,BIUQH51S012_D059_T007S01_V03.LBL,Q,TITAN,-24.83187819 ,-75.23634877 ,329.31274174 ,30.82630810 ,2005-250T07:57:10.500,2005-250T08:10:03.456
CORADR_0059,T00,BIUQI51S012_D059_T007S01_V03.LBL,Q,TITAN,-24.83187819 ,-75.23634877 ,329.31274174 ,30.82630810 ,2005-250T07:57:10.500,2005-250T08:10:03.456
CORADR_0059,T00,BIXQH51S012_D059_T007S01_V03.LBL,Q,TITAN,-24.83187819 ,-75.23634877 ,329.31274174 ,30.82630810 ,2005-250T07:57:10.500,2005-250T08:10:03.456
CORADR_0059,T00,BIMQI51S012_D059_T007S01_V03.LBL,Q,TITAN,-24.83187819 ,-75.23634877 ,329.31274174 ,30.82630810 ,2005-250T07:57:10.500,2005-250T08:10:03.456
CORADR_0059,T00,BITQI51S012_D059_T007S01_V03.LBL,Q,TITAN,-24.83187819 ,-75.23634877 ,329.31274174 ,30.82630810 ,2005-250T07:57:10.500,2005-250T08:10:03.456
CORADR_0059,T00,BIMQH51S012_D059_T007S01_V03.LBL,Q,TITAN,-24.83187819 ,-75.23634877 ,329.31274174 ,30.82630810 ,2005-250T07:57:10.500,2005-250T08:10:03.456
CORADR_0059,T00,BIBQD51S012_D059_T007S01_V03.LBL,Q,TITAN,-24.8318781,-75.2363487,329.312741,30.82630810,2005-250T07:57:10.500,2005-250T08:10:03.456
CORADR_0059,T00,BILQH51S012_D059_T007S01_V03.LBL,Q,TITAN,-24.83187819 ,-75.23634877 ,329.31274174 ,30.82630810 ,2005-250T07:57:10.500,2005-250T08:10:03.456
CORADR_0059,T00,BIFQI51S012_D059_T007S01_V03.LBL,Q,TITAN,-24.83187819 ,-75.23634877 ,329.31274174 ,30.82630810 ,2005-250T07:57:10.500,2005-250T08:10:03.456
CORADR_0059,T00,BIFQH51S012_D059_T007S01_V03.LBL,Q,TITAN,-24.83187819 ,-75.23634877 ,329.31274174 ,30.82630810 ,2005-250T07:57:10.500,2005-250T08:10:03.456
CORADR_0059,T00,BIEQI51S012_D059_T007S01_V03.LBL,Q,TITAN,-24.83187819 ,-75.23634877 ,329.31274174 ,30.82630810 ,2005-250T07:57:10.500,2005-250T08:10:03.456
CORADR_0059,T00,BIEQH51S012_D059_T007S01_V03.LBL,Q,TITAN,-24.83187819 ,-75.23634877 ,329.31274174 ,30.82630810 ,2005-250T07:57:10.500,2005-250T08:10:03.456
CORADR_0059,T00,BIDQI51S012_D059_T007S01_V03.LBL,Q,TITAN,-24.83187819 ,-75.23634877 ,329.31274174 ,30.82630810 ,2005-250T07:57:10.500,2005-250T08:10:03.456
CORADR_0059,T00,BIDQH51S012_D059_T007S01_V03.LBL,Q,TITAN,-24.83187819 ,-75.23634877 ,329.31274174 ,30.82630810 ,2005-250T07:57:10.500,2005-250T08:10:03.456
CORADR_0059,T00,BIBQI51S012_D059_T007S01_V03.LBL,Q,TITAN,-24.83187819,-75.23634877,329.31274174,30.82630810,2005-250T07:57:10.500,2005-250T08:10:03.456
CORADR_0059,T00,BIBQH51S012_D059_T007S01_V03.LBL,Q,TITAN,-24.83187819,-75.23634877,329.31274174,30.82630810,2005-250T07:57:10.500,2005-250T08:10:03.456
CORADR_0059,T00,BIBQF51S012_D059_T007S01_V03.LBL,Q,TITAN,-24.8318781,-75.2363487,329.312741,30.82630810,2005-250T07:57:10.500,2005-250T08:10:03.456
CORADR_0059,T00,BILQI51S012_D059_T007S01_V03.LBL,Q,TITAN,-24.83187819 ,-75.23634877 ,329.31274174 ,30.82630810 ,2005-250T07:57:10.500,2005-250T08:10:03.456
CORADR_0065_V03,T00,BISQH07S314_D065_T008S02_V03.LBL,Q,TITAN,4.80329098 ,-18.37462260 ,306.94921109 ,320.26044042 ,2005-301T04:33:38.484,2005-301T04:34:23.796
CORADR_0065_V03,T00,BISQH05S184_D065_T008S03_V03.LBL,Q,TITAN,6.27489020 ,-16.90184911 ,179.07595987 ,189.50616959 ,2005-301T03:53:56.971,2005-301T03:54:34.079
CORADR_0065_V03,T00,BINQI10S251_D065_T008S01_V03.LBL,Q,TITAN,-1.90210613 ,-18.86526630 ,181.24605335 ,320.14337379 ,2005-301T03:54:34.387,2005-301T04:33:38.212
CORADR_0065_V03,T00,BINQH10S251_D065_T008S01_V03.LBL,Q,TITAN,-1.90210613 ,-18.86526630 ,181.24605335 ,320.14337379 ,2005-301T03:54:34.387,2005-301T04:33:38.212
CORADR_0065_V03,T00,BIMQH07S314_D065_T008S02_V03.LBL,Q,TITAN,4.80329098 ,-18.37462260 ,306.94921109 ,320.26044042 ,2005-301T04:33:38.484,2005-301T04:34:23.796
CORADR_0065_V03,T00,BINQH05S184_D065_T008S03_V03.LBL,Q,TITAN,6.27489020 ,-16.90184911 ,179.07595987 ,189.50616959 ,2005-301T03:53:56.971,2005-301T03:54:34.079
CORADR_0065_V03,T00,BIMQI10S251_D065_T008S01_V03.LBL,Q,TITAN,-1.90210613 ,-18.86526630 ,181.24605335 ,320.14337379 ,2005-301T03:54:34.387,2005-301T04:33:38.212
CORADR_0065_V03,T00,BIMQH10S251_D065_T008S01_V03.LBL,Q,TITAN,-1.90210613 ,-18.86526630 ,181.24605335 ,320.14337379 ,2005-301T03:54:34.387,2005-301T04:33:38.212
CORADR_0065_V03,T00,BISQH10S251_D065_T008S01_V03.LBL,Q,TITAN,-1.90210613 ,-18.86526630 ,181.24605335 ,320.14337379 ,2005-301T03:54:34.387,2005-301T04:33:38.212
CORADR_0065_V03,T00,BINQH07S314_D065_T008S02_V03.LBL,Q,TITAN,4.80329098 ,-18.37462260 ,306.94921109 ,320.26044042 ,2005-301T04:33:38.484,2005-301T04:34:23.796
CORADR_0065_V03,T00,BISQI10S251_D065_T008S01_V03.LBL,Q,TITAN,-1.90210613 ,-18.86526630 ,181.24605335 ,320.14337379 ,2005-301T03:54:34.387,2005-301T04:33:38.212
CORADR_0065_V03,T00,BIUQH07S314_D065_T008S02_V03.LBL,Q,TITAN,4.80329098 ,-18.37462260 ,306.94921109 ,320.26044042 ,2005-301T04:33:38.484,2005-301T04:34:23.796
CORADR_0065_V03,T00,BITQH07S314_D065_T008S02_V03.LBL,Q,TITAN,4.80329098 ,-18.37462260 ,306.94921109 ,320.26044042 ,2005-301T04:33:38.484,2005-301T04:34:23.796
CORADR_0065_V03,T00,BITQH10S251_D065_T008S01_V03.LBL,Q,TITAN,-1.90210613 ,-18.86526630 ,181.24605335 ,320.14337379 ,2005-301T03:54:34.387,2005-301T04:33:38.212
CORADR_0065_V03,T00,BITQI10S251_D065_T008S01_V03.LBL,Q,TITAN,-1.90210613 ,-18.86526630 ,181.24605335 ,320.14337379 ,2005-301T03:54:34.387,2005-301T04:33:38.212
CORADR_0065_V03,T00,BIUQH05S184_D065_T008S03_V03.LBL,Q,TITAN,6.27489020 ,-16.90184911 ,179.07595987 ,189.50616959 ,2005-301T03:53:56.971,2005-301T03:54:34.079
CORADR_0065_V03,T00,BIUQH10S251_D065_T008S01_V03.LBL,Q,TITAN,-1.90210613 ,-18.86526630 ,181.24605335 ,320.14337379 ,2005-301T03:54:34.387,2005-301T04:33:38.212
CORADR_0065_V03,T00,BIUQI10S251_D065_T008S01_V03.LBL,Q,TITAN,-1.90210613 ,-18.86526630 ,181.24605335 ,320.14337379 ,2005-301T03:54:34.387,2005-301T04:33:38.212
CORADR_0065_V03,T00,BIXQH05S184_D065_T008S03_V03.LBL,Q,TITAN,6.27489020 ,-16.90184911 ,179.07595987 ,189.50616959 ,2005-301T03:53:56.971,2005-301T03:54:34.079
CORADR_0065_V03,T00,BIXQH07S314_D065_T008S02_V03.LBL,Q,TITAN,4.80329098 ,-18.37462260 ,306.94921109 ,320.26044042 ,2005-301T04:33:38.484,2005-301T04:34:23.796
CORADR_0065_V03,T00,BIXQH10S251_D065_T008S01_V03.LBL,Q,TITAN,-1.90210613 ,-18.86526630 ,181.24605335 ,320.14337379 ,2005-301T03:54:34.387,2005-301T04:33:38.212
CORADR_0065_V03,T00,BIXQI10S251_D065_T008S01_V03.LBL,Q,TITAN,-1.90210613 ,-18.86526630 ,181.24605335 ,320.14337379 ,2005-301T03:54:34.387,2005-301T04:33:38.212
CORADR_0065_V03,T00,BIMQH05S184_D065_T008S03_V03.LBL,Q,TITAN,6.27489020 ,-16.90184911 ,179.07595987 ,189.50616959 ,2005-301T03:53:56.971,2005-301T03:54:34.079
CORADR_0065_V03,T00,BITQH05S184_D065_T008S03_V03.LBL,Q,TITAN,6.27489020 ,-16.90184911 ,179.07595987 ,189.50616959 ,2005-301T03:53:56.971,2005-301T03:54:34.079
CORADR_0065_V03,T00,BILQI10S251_D065_T008S01_V03.LBL,Q,TITAN,-1.90210613 ,-18.86526630 ,181.24605335 ,320.14337379 ,2005-301T03:54:34.387,2005-301T04:33:38.212
CORADR_0065_V03,T00,BIBQD05S184_D065_T008S03_V03.LBL,Q,TITAN,6.2748902,-16.9018491,179.0759598,189.5061695,2005-301T03:53:56.971,2005-301T03:54:34.079
CORADR_0065_V03,T00,BILQH07S314_D065_T008S02_V03.LBL,Q,TITAN,4.80329098 ,-18.37462260 ,306.94921109 ,320.26044042 ,2005-301T04:33:38.484,2005-301T04:34:23.796
CORADR_0065_V03,T00,BILQH10S251_D065_T008S01_V03.LBL,Q,TITAN,-1.90210613 ,-18.86526630 ,181.24605335 ,320.14337379 ,2005-301T03:54:34.387,2005-301T04:33:38.212
CORADR_0065_V03,T00,BIBQD07S314_D065_T008S02_V03.LBL,Q,TITAN,4.8032909,-18.3746226,306.9492110,320.2604404,2005-301T04:33:38.484,2005-301T04:34:23.796
CORADR_0065_V03,T00,BIBQD10S251_D065_T008S01_V03.LBL,Q,TITAN,-1.9021061,-18.8652663,181.2460533,320.1433737,2005-301T03:54:34.387,2005-301T04:33:38.212
CORADR_0065_V03,T00,BIBQF05S184_D065_T008S03_V03.LBL,Q,TITAN,6.2748902,-16.9018491,179.0759598,189.5061695,2005-301T03:53:56.971,2005-301T03:54:34.079
CORADR_0065_V03,T00,BIBQF07S314_D065_T008S02_V03.LBL,Q,TITAN,4.8032909,-18.3746226,306.9492110,320.2604404,2005-301T04:33:38.484,2005-301T04:34:23.796
CORADR_0065_V03,T00,BIBQF10S251_D065_T008S01_V03.LBL,Q,TITAN,-1.9021061,-18.8652663,181.2460533,320.1433737,2005-301T03:54:34.387,2005-301T04:33:38.212
CORADR_0065_V03,T00,BIBQH07S314_D065_T008S02_V03.LBL,Q,TITAN,4.80329098,-18.37462260,306.94921109,320.26044042,2005-301T04:33:38.484,2005-301T04:34:23.796
CORADR_0065_V03,T00,BIBQH10S251_D065_T008S01_V03.LBL,Q,TITAN,-1.90210613,-18.86526630,181.24605335,320.14337379,2005-301T03:54:34.387,2005-301T04:33:38.212
CORADR_0065_V03,T00,BIBQI10S251_D065_T008S01_V03.LBL,Q,TITAN,-1.90210613,-18.86526630,181.24605335,320.14337379,2005-301T03:54:34.387,2005-301T04:33:38.212
CORADR_0065_V03,T00,BIDQH05S184_D065_T008S03_V03.LBL,Q,TITAN,6.27489020 ,-16.90184911 ,179.07595987 ,189.50616959 ,2005-301T03:53:56.971,2005-301T03:54:34.079
CORADR_0065_V03,T00,BIDQH07S314_D065_T008S02_V03.LBL,Q,TITAN,4.80329098 ,-18.37462260 ,306.94921109 ,320.26044042 ,2005-301T04:33:38.484,2005-301T04:34:23.796
CORADR_0065_V03,T00,BIBQH05S184_D065_T008S03_V03.LBL,Q,TITAN,6.27489020,-16.90184911,179.07595987,189.50616959,2005-301T03:53:56.971,2005-301T03:54:34.079
CORADR_0065_V03,T00,BIDQI10S251_D065_T008S01_V03.LBL,Q,TITAN,-1.90210613 ,-18.86526630 ,181.24605335 ,320.14337379 ,2005-301T03:54:34.387,2005-301T04:33:38.212
CORADR_0065_V03,T00,BIDQH10S251_D065_T008S01_V03.LBL,Q,TITAN,-1.90210613 ,-18.86526630 ,181.24605335 ,320.14337379 ,2005-301T03:54:34.387,2005-301T04:33:38.212
CORADR_0065_V03,T00,BIFQI10S251_D065_T008S01_V03.LBL,Q,TITAN,-1.90210613 ,-18.86526630 ,181.24605335 ,320.14337379 ,2005-301T03:54:34.387,2005-301T04:33:38.212
CORADR_0065_V03,T00,BIFQH10S251_D065_T008S01_V03.LBL,Q,TITAN,-1.90210613 ,-18.86526630 ,181.24605335 ,320.14337379 ,2005-301T03:54:34.387,2005-301T04:33:38.212
CORADR_0065_V03,T00,BIFQH07S314_D065_T008S02_V03.LBL,Q,TITAN,4.80329098 ,-18.37462260 ,306.94921109 ,320.26044042 ,2005-301T04:33:38.484,2005-301T04:34:23.796
CORADR_0065_V03,T00,BIFQH05S184_D065_T008S03_V03.LBL,Q,TITAN,6.27489020 ,-16.90184911 ,179.07595987 ,189.50616959 ,2005-301T03:53:56.971,2005-301T03:54:34.079
CORADR_0065_V03,T00,BILQH05S184_D065_T008S03_V03.LBL,Q,TITAN,6.27489020 ,-16.90184911 ,179.07595987 ,189.50616959 ,2005-301T03:53:56.971,2005-301T03:54:34.079
CORADR_0065_V03,T00,BIEQH10S251_D065_T008S01_V03.LBL,Q,TITAN,-1.90210613 ,-18.86526630 ,181.24605335 ,320.14337379 ,2005-301T03:54:34.387,2005-301T04:33:38.212
CORADR_0065_V03,T00,BIEQH07S314_D065_T008S02_V03.LBL,Q,TITAN,4.80329098 ,-18.37462260 ,306.94921109 ,320.26044042 ,2005-301T04:33:38.484,2005-301T04:34:23.796
CORADR_0065_V03,T00,BIEQH05S184_D065_T008S03_V03.LBL,Q,TITAN,6.27489020 ,-16.90184911 ,179.07595987 ,189.50616959 ,2005-301T03:53:56.971,2005-301T03:54:34.079
CORADR_0065_V03,T00,BIEQI10S251_D065_T008S01_V03.LBL,Q,TITAN,-1.90210613 ,-18.86526630 ,181.24605335 ,320.14337379 ,2005-301T03:54:34.387,2005-301T04:33:38.212
CORADR_0082,T00,BISQH11S116_D082_T013S01_V03.LBL,Q,TITAN,-3.71712268 ,-19.22863788 ,60.32577843 ,172.35211924 ,2006-120T20:46:27.421,2006-120T21:15:41.412
CORADR_0082,T00,BIMQH07S190_D082_T013S03_V03.LBL,Q,TITAN,0.31077175 ,-13.69539768 ,180.31208903 ,199.30454075 ,2006-120T21:36:17.177,2006-120T21:39:14.841
CORADR_0082,T00,BIMQH11S116_D082_T013S01_V03.LBL,Q,TITAN,-3.71712268 ,-19.22863788 ,60.32577843 ,172.35211924 ,2006-120T20:46:27.421,2006-120T21:15:41.412
CORADR_0082,T00,BIMQI11S116_D082_T013S01_V03.LBL,Q,TITAN,-3.71712268 ,-19.22863788 ,60.32577843 ,172.35211924 ,2006-120T20:46:27.421,2006-120T21:15:41.412
CORADR_0082,T00,BINQH05S168_D082_T013S02_V03.LBL,Q,TITAN,7.28090778 ,-17.73557998 ,163.29804881 ,172.35537622 ,2006-120T21:15:38.662,2006-120T21:18:14.805
CORADR_0082,T00,BINQH07S190_D082_T013S03_V03.LBL,Q,TITAN,0.31077175 ,-13.69539768 ,180.31208903 ,199.30454075 ,2006-120T21:36:17.177,2006-120T21:39:14.841
CORADR_0082,T00,BINQH11S116_D082_T013S01_V03.LBL,Q,TITAN,-3.71712268 ,-19.22863788 ,60.32577843 ,172.35211924 ,2006-120T20:46:27.421,2006-120T21:15:41.412
CORADR_0082,T00,BINQI11S116_D082_T013S01_V03.LBL,Q,TITAN,-3.71712268 ,-19.22863788 ,60.32577843 ,172.35211924 ,2006-120T20:46:27.421,2006-120T21:15:41.412
CORADR_0082,T00,BISQH05S168_D082_T013S02_V03.LBL,Q,TITAN,7.28090778 ,-17.73557998 ,163.29804881 ,172.35537622 ,2006-120T21:15:38.662,2006-120T21:18:14.805
CORADR_0082,T00,BISQH07S190_D082_T013S03_V03.LBL,Q,TITAN,0.31077175 ,-13.69539768 ,180.31208903 ,199.30454075 ,2006-120T21:36:17.177,2006-120T21:39:14.841
CORADR_0082,T00,BISQI11S116_D082_T013S01_V03.LBL,Q,TITAN,-3.71712268 ,-19.22863788 ,60.32577843 ,172.35211924 ,2006-120T20:46:27.421,2006-120T21:15:41.412
CORADR_0082,T00,BIMQH05S168_D082_T013S02_V03.LBL,Q,TITAN,7.28090778 ,-17.73557998 ,163.29804881 ,172.35537622 ,2006-120T21:15:38.662,2006-120T21:18:14.805
